full_text,Filtering,Case_Folding,Tokenizing,Stemming,Stopwords_Removal
ᅠ ᅠ ᅠ Insomnia finally took a toll on me. Kepala rasanya udah kaya dangdutan sendiri. I need my girl back. ᅠ ᅠ https://t.co/2RMBX4wqXD,ᅠ ᅠ ᅠ Insomnia finally took a toll on me Kepala rasanya udah kaya dangdutan sendiri I need my girl back ᅠ ᅠ ,ᅠ ᅠ ᅠ insomnia finally took a toll on me kepala rasanya udah kaya dangdutan sendiri i need my girl back ᅠ ᅠ ,"['ᅠ', 'ᅠ', 'ᅠ', 'insomnia', 'finally', 'took', 'a', 'toll', 'on', 'me', 'kepala', 'rasanya', 'udah', 'kaya', 'dangdutan', 'sendiri', 'i', 'need', 'my', 'girl', 'back', 'ᅠ', 'ᅠ']","['', '', '', 'insomnia', 'finally', 'took', 'a', 'toll', 'on', 'me', 'kepala', 'rasa', 'udah', 'kaya', 'dangdut', 'sendiri', 'i', 'need', 'my', 'girl', 'back', '', '']","['', '', '', 'insomnia', 'finally', 'took', 'a', 'toll', 'on', 'me', 'kepala', 'udah', 'kaya', 'dangdut', 'i', 'need', 'my', 'girl', 'back', '', '']"
@Ex_insomnia kesayangan ponakan ia, kesayangan ponakan ia, kesayangan ponakan ia,"['kesayangan', 'ponakan', 'ia']","['sayang', 'ponakan', 'ia']","['sayang', 'ponakan']"
@Ex_insomnia wkwkwk kepleset, wkwkwk kepleset, wkwkwk kepleset,"['wkwkwk', 'kepleset']","['wkwkwk', 'kepleset']","['wkwkwk', 'kepleset']"
@suksaetbyeoli7 HAHAHAHAHAHA katanya insomnia by tau2 buka buku lah langsung ngorok dia, HAHAHAHAHAHA katanya insomnia by tau buka buku lah langsung ngorok dia, hahahahahaha katanya insomnia by tau buka buku lah langsung ngorok dia,"['hahahahahaha', 'katanya', 'insomnia', 'by', 'tau', 'buka', 'buku', 'lah', 'langsung', 'ngorok', 'dia']","['hahahahahaha', 'kata', 'insomnia', 'by', 'tau', 'buka', 'buku', 'lah', 'langsung', 'ngorok', 'dia']","['hahahahahaha', 'insomnia', 'by', 'tau', 'buka', 'buku', 'langsung', 'ngorok']"
@xendless_s @carlaaura ya soalnya pasien insomnia pengguna lorazepam,  ya soalnya pasien insomnia pengguna lorazepam,  ya soalnya pasien insomnia pengguna lorazepam,"['ya', 'soalnya', 'pasien', 'insomnia', 'pengguna', 'lorazepam']","['ya', 'soal', 'pasien', 'insomnia', 'guna', 'lorazepam']","['ya', 'pasien', 'insomnia', 'lorazepam']"
@maia_klp48 InSomnia juga teh?, InSomnia juga teh, insomnia juga teh,"['insomnia', 'juga', 'teh']","['insomnia', 'juga', 'teh']","['insomnia', 'teh']"
@ccmh_comics Pernah insomnia kurleb sebulan kemudian perbaiki pola hidup. Sore coba jogging / jalan - jalan cari keringet konsumsi blackmores yg kandungan magnesium lalu pas tidur nyetel org podcast. Bisa deh tidur teratur jam 10 , Pernah insomnia kurleb sebulan kemudian perbaiki pola hidup Sore coba jogging  jalan  jalan cari keringet konsumsi blackmores yg kandungan magnesium lalu pas tidur nyetel org podcast Bisa deh tidur teratur jam  , pernah insomnia kurleb sebulan kemudian perbaiki pola hidup sore coba jogging  jalan  jalan cari keringet konsumsi blackmores yg kandungan magnesium lalu pas tidur nyetel org podcast bisa deh tidur teratur jam  ,"['pernah', 'insomnia', 'kurleb', 'sebulan', 'kemudian', 'perbaiki', 'pola', 'hidup', 'sore', 'coba', 'jogging', 'jalan', 'jalan', 'cari', 'keringet', 'konsumsi', 'blackmores', 'yg', 'kandungan', 'magnesium', 'lalu', 'pas', 'tidur', 'nyetel', 'org', 'podcast', 'bisa', 'deh', 'tidur', 'teratur', 'jam']","['pernah', 'insomnia', 'kurleb', 'bulan', 'kemudian', 'baik', 'pola', 'hidup', 'sore', 'coba', 'jogging', 'jalan', 'jalan', 'cari', 'keringet', 'konsumsi', 'blackmores', 'yg', 'kandung', 'magnesium', 'lalu', 'pas', 'tidur', 'nyetel', 'org', 'podcast', 'bisa', 'deh', 'tidur', 'atur', 'jam']","['insomnia', 'kurleb', 'pola', 'hidup', 'sore', 'coba', 'jogging', 'jalan', 'jalan', 'cari', 'keringet', 'konsumsi', 'blackmores', 'yg', 'kandung', 'magnesium', 'pas', 'tidur', 'nyetel', 'org', 'podcast', 'deh', 'tidur', 'atur', 'jam']"
Insomnia Kronis Tingkatkan Risiko Demensia hingga 40 Persen Studi Neurology Ungkap Fakta Mengejutkan https://t.co/FGnuN28kdL,Insomnia Kronis Tingkatkan Risiko Demensia hingga  Persen Studi Neurology Ungkap Fakta Mengejutkan ,insomnia kronis tingkatkan risiko demensia hingga  persen studi neurology ungkap fakta mengejutkan ,"['insomnia', 'kronis', 'tingkatkan', 'risiko', 'demensia', 'hingga', 'persen', 'studi', 'neurology', 'ungkap', 'fakta', 'mengejutkan']","['insomnia', 'kronis', 'tingkat', 'risiko', 'demensia', 'hingga', 'persen', 'studi', 'neurology', 'ungkap', 'fakta', 'kejut']","['insomnia', 'kronis', 'tingkat', 'risiko', 'demensia', 'persen', 'studi', 'neurology', 'fakta', 'kejut']"
@RianEkkyP Gue juga belum yan :(, Gue juga belum yan , gue juga belum yan ,"['gue', 'juga', 'belum', 'yan']","['gue', 'juga', 'belum', 'yan']","['gue', 'yan']"
Tepat setahun yang lalu diwaktu yg sama gue melihat gimana sakaratul maut menjemput ibu gue tepat di depan mata dan resmi jadi anak yatim piatu dan itu yg selalu ngingetin gue kalo lagi kebangun di malam hari atau lagi insomnia moment yg gak bakal bisa gue lupain seumur hidup,Tepat setahun yang lalu diwaktu yg sama gue melihat gimana sakaratul maut menjemput ibu gue tepat di depan mata dan resmi jadi anak yatim piatu dan itu yg selalu ngingetin gue kalo lagi kebangun di malam hari atau lagi insomnia moment yg gak bakal bisa gue lupain seumur hidup,tepat setahun yang lalu diwaktu yg sama gue melihat gimana sakaratul maut menjemput ibu gue tepat di depan mata dan resmi jadi anak yatim piatu dan itu yg selalu ngingetin gue kalo lagi kebangun di malam hari atau lagi insomnia moment yg gak bakal bisa gue lupain seumur hidup,"['tepat', 'setahun', 'yang', 'lalu', 'diwaktu', 'yg', 'sama', 'gue', 'melihat', 'gimana', 'sakaratul', 'maut', 'menjemput', 'ibu', 'gue', 'tepat', 'di', 'depan', 'mata', 'dan', 'resmi', 'jadi', 'anak', 'yatim', 'piatu', 'dan', 'itu', 'yg', 'selalu', 'ngingetin', 'gue', 'kalo', 'lagi', 'kebangun', 'di', 'malam', 'hari', 'atau', 'lagi', 'insomnia', 'moment', 'yg', 'gak', 'bakal', 'bisa', 'gue', 'lupain', 'seumur', 'hidup']","['tepat', 'tahun', 'yang', 'lalu', 'waktu', 'yg', 'sama', 'gue', 'lihat', 'gimana', 'sakaratul', 'maut', 'jemput', 'ibu', 'gue', 'tepat', 'di', 'depan', 'mata', 'dan', 'resmi', 'jadi', 'anak', 'yatim', 'piatu', 'dan', 'itu', 'yg', 'selalu', 'ngingetin', 'gue', 'kalo', 'lagi', 'bangun', 'di', 'malam', 'hari', 'atau', 'lagi', 'insomnia', 'moment', 'yg', 'gak', 'bakal', 'bisa', 'gue', 'lupain', 'umur', 'hidup']","['yg', 'gue', 'lihat', 'gimana', 'sakaratul', 'maut', 'jemput', 'gue', 'mata', 'resmi', 'anak', 'yatim', 'piatu', 'yg', 'ngingetin', 'gue', 'kalo', 'bangun', 'malam', 'insomnia', 'moment', 'yg', 'gak', 'gue', 'lupain', 'umur', 'hidup']"
