conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1972999070525575313,Tue Sep 30 12:16:49 +0000 2025,0,ᅠ ᅠ ᅠ Insomnia finally took a toll on me. Kepala rasanya udah kaya dangdutan sendiri. I need my girl back. ᅠ ᅠ https://t.co/2RMBX4wqXD,1972999070525575313,https://pbs.twimg.com/media/G2GAMtPaQAA5CVI.jpg,,in,,0,0,0,https://x.com/undefined/status/1972999070525575313,788133819597529088,
1972978284435820791,Tue Sep 30 12:10:30 +0000 2025,0,@Ex_insomnia kesayangan ponakan ia,1972997480024535369,,Ex_insomnia,in,,0,1,0,https://x.com/undefined/status/1972997480024535369,1292413757897846784,
1972959538279334164,Tue Sep 30 12:02:02 +0000 2025,0,@Ex_insomnia wkwkwk kepleset,1972995349758529785,,Ex_insomnia,in,,0,0,0,https://x.com/undefined/status/1972995349758529785,1481231686172311560,
1972643915561111999,Tue Sep 30 11:53:23 +0000 2025,0,@suksaetbyeoli7 HAHAHAHAHAHA katanya insomnia by tau2 buka buku lah langsung ngorok dia,1972993171681632677,,suksaetbyeoli7,in,,0,0,0,https://x.com/undefined/status/1972993171681632677,963003934536212480,
1972191823528710230,Tue Sep 30 11:40:00 +0000 2025,0,@xendless_s @carlaaura ya soalnya pasien insomnia pengguna lorazepam,1972989803470987345,,xendless_s,in,,0,0,0,https://x.com/undefined/status/1972989803470987345,857917093,
1972981601194951025,Tue Sep 30 11:32:14 +0000 2025,1,@maia_klp48 InSomnia juga teh?,1972987848816205985,,maia_klp48,in,,0,0,0,https://x.com/undefined/status/1972987848816205985,165332202,
1972719046526398492,Tue Sep 30 11:30:12 +0000 2025,1,@ccmh_comics Pernah insomnia kurleb sebulan kemudian perbaiki pola hidup. Sore coba jogging / jalan - jalan cari keringet konsumsi blackmores yg kandungan magnesium lalu pas tidur nyetel org podcast. Bisa deh tidur teratur jam 10 ,1972987337924899248,,ccmh_comics,in,,0,0,0,https://x.com/undefined/status/1972987337924899248,750499638,
1972983929180495972,Tue Sep 30 11:16:39 +0000 2025,0,Insomnia Kronis Tingkatkan Risiko Demensia hingga 40 Persen Studi Neurology Ungkap Fakta Mengejutkan https://t.co/FGnuN28kdL,1972983929180495972,,,in,,0,0,0,https://x.com/undefined/status/1972983929180495972,535213390,
1972909474026512671,Tue Sep 30 11:09:04 +0000 2025,1,@RianEkkyP Gue juga belum yan :(,1972982019509584379,,RianEkkyP,in,,0,0,0,https://x.com/undefined/status/1972982019509584379,52029529,
1972979761065640097,Tue Sep 30 11:00:05 +0000 2025,0,Tepat setahun yang lalu diwaktu yg sama gue melihat gimana sakaratul maut menjemput ibu gue tepat di depan mata dan resmi jadi anak yatim piatu dan itu yg selalu ngingetin gue kalo lagi kebangun di malam hari atau lagi insomnia moment yg gak bakal bisa gue lupain seumur hidup,1972979761065640097,,,in,,0,0,0,https://x.com/undefined/status/1972979761065640097,564432527,
1972978284435820791,Tue Sep 30 10:54:13 +0000 2025,1,kadang kalo liat muka sendiri suka ngerenyuh gak kerasa udah jadi om om.,1972978284435820791,,,in,,0,4,0,https://x.com/undefined/status/1972978284435820791,765859339416457218,
1972976873375469804,Tue Sep 30 10:49:52 +0000 2025,0,8. The Best Thing The Best Thing adalah drama romantis Tiongkok tentang Shen Xi Fan manajer hotel yang menderita insomnia dan migrain akibat stres kerja yang akhirnya bertemu dan jatuh cinta dengan He Su Ye seorang dokter pengobatan tradisional Tiongkok. https://t.co/lTpPmpyBkD,1972977187776250226,https://pbs.twimg.com/media/G2FsS5gbgAAxuVt.jpg,SFT99XIAOWEN,in,,0,1,1,https://x.com/undefined/status/1972977187776250226,1498635251391729664,
